psa,offense,crime_count
101,THEFT/OTHER,868
101,THEFT F/AUTO,559
101,ROBBERY,66
101,MOTOR VEHICLE THEFT,45
101,ASSAULT W/DANGEROUS WEAPON,28
101,BURGLARY,25
101,SEX ABUSE,12
101,HOMICIDE,2
101,ARSON,0
102,THEFT/OTHER,629
102,THEFT F/AUTO,313
102,MOTOR VEHICLE THEFT,54
102,ASSAULT W/DANGEROUS WEAPON,50
102,ROBBERY,50
102,BURGLARY,16
102,SEX ABUSE,15
102,HOMICIDE,5
102,ARSON,0
103,THEFT F/AUTO,286
103,THEFT/OTHER,188
103,MOTOR VEHICLE THEFT,32
103,BURGLARY,19
103,ROBBERY,19
103,ASSAULT W/DANGEROUS WEAPON,8
103,SEX ABUSE,3
103,HOMICIDE,0
103,ARSON,0
104,THEFT/OTHER,817
104,THEFT F/AUTO,482
104,ROBBERY,83
104,MOTOR VEHICLE THEFT,72
104,BURGLARY,58
104,ASSAULT W/DANGEROUS WEAPON,37
104,HOMICIDE,6
104,SEX ABUSE,6
104,ARSON,0
105,THEFT/OTHER,396
105,THEFT F/AUTO,181
105,ASSAULT W/DANGEROUS WEAPON,50
105,ROBBERY,49
105,MOTOR VEHICLE THEFT,44
105,BURGLARY,9
105,SEX ABUSE,6
105,HOMICIDE,3
105,ARSON,0
106,THEFT/OTHER,1160
106,THEFT F/AUTO,584
106,ROBBERY,82
106,MOTOR VEHICLE THEFT,74
106,BURGLARY,54
106,ASSAULT W/DANGEROUS WEAPON,30
106,SEX ABUSE,7
106,HOMICIDE,4
106,ARSON,0
107,THEFT/OTHER,641
107,THEFT F/AUTO,366
107,ROBBERY,85
107,MOTOR VEHICLE THEFT,64
107,ASSAULT W/DANGEROUS WEAPON,38
107,BURGLARY,34
107,SEX ABUSE,16
107,HOMICIDE,0
107,ARSON,0
108,THEFT/OTHER,312
108,THEFT F/AUTO,309
108,MOTOR VEHICLE THEFT,62
108,ROBBERY,55
108,BURGLARY,23
108,ASSAULT W/DANGEROUS WEAPON,10
108,SEX ABUSE,4
108,HOMICIDE,2
108,ARSON,1
201,THEFT F/AUTO,290
201,THEFT/OTHER,147
201,MOTOR VEHICLE THEFT,59
201,BURGLARY,19
201,ROBBERY,9
201,ASSAULT W/DANGEROUS WEAPON,4
201,SEX ABUSE,1
201,ARSON,0
201,HOMICIDE,0
202,THEFT/OTHER,579
202,THEFT F/AUTO,402
202,BURGLARY,53
202,MOTOR VEHICLE THEFT,47
202,SEX ABUSE,0
202,ROBBERY,31
202,ASSAULT W/DANGEROUS WEAPON,13
202,ARSON,0
202,HOMICIDE,0
203,THEFT/OTHER,404
203,THEFT F/AUTO,232
203,MOTOR VEHICLE THEFT,40
203,BURGLARY,37
203,ASSAULT W/DANGEROUS WEAPON,14
203,ROBBERY,13
203,SEX ABUSE,3
203,ARSON,0
203,HOMICIDE,0
204,THEFT/OTHER,500
204,THEFT F/AUTO,259
204,MOTOR VEHICLE THEFT,62
204,BURGLARY,33
204,ROBBERY,17
204,ASSAULT W/DANGEROUS WEAPON,16
204,SEX ABUSE,5
204,ARSON,0
204,HOMICIDE,0
205,THEFT F/AUTO,247
205,THEFT/OTHER,136
205,MOTOR VEHICLE THEFT,71
205,BURGLARY,33
205,ROBBERY,10
205,ASSAULT W/DANGEROUS WEAPON,3
205,SEX ABUSE,3
205,ARSON,0
205,HOMICIDE,0
206,THEFT/OTHER,1407
206,THEFT F/AUTO,633
206,MOTOR VEHICLE THEFT,76
206,BURGLARY,62
206,ASSAULT W/DANGEROUS WEAPON,36
206,ROBBERY,31
206,SEX ABUSE,13
206,HOMICIDE,1
206,ARSON,0
207,THEFT/OTHER,1566
207,THEFT F/AUTO,502
207,ROBBERY,101
207,MOTOR VEHICLE THEFT,88
207,BURGLARY,85
207,ASSAULT W/DANGEROUS WEAPON,69
207,SEX ABUSE,23
207,ARSON,0
207,HOMICIDE,0
208,THEFT/OTHER,973
208,THEFT F/AUTO,915
208,MOTOR VEHICLE THEFT,89
208,ROBBERY,86
208,BURGLARY,74
208,ASSAULT W/DANGEROUS WEAPON,70
208,SEX ABUSE,23
208,ARSON,0
208,HOMICIDE,0
209,THEFT/OTHER,1073
209,THEFT F/AUTO,305
209,ROBBERY,36
209,MOTOR VEHICLE THEFT,32
209,BURGLARY,24
209,ASSAULT W/DANGEROUS WEAPON,12
209,SEX ABUSE,6
209,ARSON,0
209,HOMICIDE,0
301,THEFT/OTHER,492
301,THEFT F/AUTO,431
301,MOTOR VEHICLE THEFT,60
301,ROBBERY,59
301,BURGLARY,41
301,ASSAULT W/DANGEROUS WEAPON,30
301,SEX ABUSE,9
301,HOMICIDE,1
301,ARSON,0
302,THEFT/OTHER,1119
302,THEFT F/AUTO,634
302,ROBBERY,117
302,MOTOR VEHICLE THEFT,101
302,ASSAULT W/DANGEROUS WEAPON,74
302,BURGLARY,72
302,SEX ABUSE,10
302,HOMICIDE,3
302,ARSON,0
303,THEFT/OTHER,568
303,THEFT F/AUTO,381
303,MOTOR VEHICLE THEFT,75
303,ROBBERY,62
303,BURGLARY,50
303,ASSAULT W/DANGEROUS WEAPON,36
303,SEX ABUSE,13
303,HOMICIDE,1
303,ARSON,0
304,THEFT F/AUTO,695
304,THEFT/OTHER,390
304,ROBBERY,107
304,MOTOR VEHICLE THEFT,83
304,BURGLARY,46
304,ASSAULT W/DANGEROUS WEAPON,45
304,SEX ABUSE,5
304,HOMICIDE,3
304,ARSON,0
305,THEFT F/AUTO,1213
305,THEFT/OTHER,818
305,ROBBERY,135
305,MOTOR VEHICLE THEFT,90
305,ASSAULT W/DANGEROUS WEAPON,50
305,BURGLARY,41
305,SEX ABUSE,12
305,HOMICIDE,1
305,ARSON,0
306,THEFT F/AUTO,498
306,THEFT/OTHER,282
306,ROBBERY,63
306,MOTOR VEHICLE THEFT,55
306,BURGLARY,47
306,ASSAULT W/DANGEROUS WEAPON,34
306,ARSON,0
306,SEX ABUSE,0
306,HOMICIDE,0
307,THEFT F/AUTO,820
307,THEFT/OTHER,517
307,MOTOR VEHICLE THEFT,77
307,ROBBERY,62
307,BURGLARY,54
307,ASSAULT W/DANGEROUS WEAPON,45
307,SEX ABUSE,13
307,HOMICIDE,2
307,ARSON,1
308,THEFT F/AUTO,551
308,THEFT/OTHER,507
308,ROBBERY,93
308,MOTOR VEHICLE THEFT,81
308,BURGLARY,72
308,ASSAULT W/DANGEROUS WEAPON,60
308,SEX ABUSE,6
308,HOMICIDE,5
308,ARSON,0
401,THEFT F/AUTO,639
401,THEFT/OTHER,254
401,MOTOR VEHICLE THEFT,60
401,ROBBERY,47
401,BURGLARY,37
401,ASSAULT W/DANGEROUS WEAPON,27
401,SEX ABUSE,2
401,HOMICIDE,1
401,ARSON,0
402,THEFT F/AUTO,490
402,THEFT/OTHER,425
402,ROBBERY,68
402,MOTOR VEHICLE THEFT,62
402,BURGLARY,39
402,ASSAULT W/DANGEROUS WEAPON,26
402,SEX ABUSE,7
402,HOMICIDE,3
402,ARSON,0
403,THEFT/OTHER,293
403,THEFT F/AUTO,233
403,ROBBERY,105
403,MOTOR VEHICLE THEFT,60
403,BURGLARY,58
403,ASSAULT W/DANGEROUS WEAPON,56
403,SEX ABUSE,11
403,HOMICIDE,3
403,ARSON,1
404,THEFT/OTHER,484
404,THEFT F/AUTO,356
404,MOTOR VEHICLE THEFT,91
404,ROBBERY,91
404,BURGLARY,63
404,ASSAULT W/DANGEROUS WEAPON,51
404,SEX ABUSE,6
404,HOMICIDE,1
404,ARSON,0
405,THEFT F/AUTO,350
405,THEFT/OTHER,316
405,MOTOR VEHICLE THEFT,105
405,ROBBERY,63
405,ASSAULT W/DANGEROUS WEAPON,41
405,BURGLARY,32
405,SEX ABUSE,10
405,HOMICIDE,2
405,ARSON,1
406,THEFT F/AUTO,427
406,THEFT/OTHER,316
406,MOTOR VEHICLE THEFT,96
406,ROBBERY,56
406,ASSAULT W/DANGEROUS WEAPON,37
406,BURGLARY,34
406,SEX ABUSE,8
406,HOMICIDE,4
406,ARSON,0
407,THEFT/OTHER,282
407,THEFT F/AUTO,228
407,BURGLARY,95
407,MOTOR VEHICLE THEFT,91
407,ROBBERY,60
407,ASSAULT W/DANGEROUS WEAPON,50
407,SEX ABUSE,8
407,HOMICIDE,2
407,ARSON,0
408,THEFT F/AUTO,256
408,THEFT/OTHER,240
408,ROBBERY,53
408,MOTOR VEHICLE THEFT,41
408,BURGLARY,28
408,ASSAULT W/DANGEROUS WEAPON,24
408,SEX ABUSE,5
408,HOMICIDE,2
408,ARSON,0
409,THEFT F/AUTO,367
409,THEFT/OTHER,351
409,ROBBERY,53
409,BURGLARY,48
409,ASSAULT W/DANGEROUS WEAPON,45
409,MOTOR VEHICLE THEFT,34
409,SEX ABUSE,5
409,HOMICIDE,2
409,ARSON,1
501,THEFT/OTHER,725
501,THEFT F/AUTO,599
501,ROBBERY,72
501,MOTOR VEHICLE THEFT,68
501,BURGLARY,50
501,ASSAULT W/DANGEROUS WEAPON,47
501,SEX ABUSE,13
501,HOMICIDE,2
501,ARSON,0
502,THEFT F/AUTO,454
502,THEFT/OTHER,408
502,MOTOR VEHICLE THEFT,97
502,ASSAULT W/DANGEROUS WEAPON,82
502,ROBBERY,80
502,BURGLARY,54
502,SEX ABUSE,17
502,HOMICIDE,8
502,ARSON,0
503,THEFT F/AUTO,783
503,THEFT/OTHER,524
503,MOTOR VEHICLE THEFT,189
503,ROBBERY,86
503,ASSAULT W/DANGEROUS WEAPON,66
503,BURGLARY,65
503,SEX ABUSE,11
503,HOMICIDE,1
503,ARSON,0
504,THEFT F/AUTO,311
504,THEFT/OTHER,296
504,MOTOR VEHICLE THEFT,72
504,ROBBERY,55
504,BURGLARY,45
504,ASSAULT W/DANGEROUS WEAPON,31
504,SEX ABUSE,4
504,HOMICIDE,3
504,ARSON,0
505,THEFT/OTHER,868
505,THEFT F/AUTO,250
505,ASSAULT W/DANGEROUS WEAPON,78
505,MOTOR VEHICLE THEFT,67
505,ROBBERY,53
505,BURGLARY,33
505,SEX ABUSE,9
505,HOMICIDE,7
505,ARSON,0
506,THEFT/OTHER,643
506,THEFT F/AUTO,469
506,MOTOR VEHICLE THEFT,130
506,ASSAULT W/DANGEROUS WEAPON,129
506,ROBBERY,126
506,BURGLARY,79
506,SEX ABUSE,17
506,HOMICIDE,8
506,ARSON,0
507,THEFT/OTHER,699
507,THEFT F/AUTO,245
507,ASSAULT W/DANGEROUS WEAPON,177
507,ROBBERY,114
507,MOTOR VEHICLE THEFT,99
507,BURGLARY,94
507,HOMICIDE,15
507,SEX ABUSE,13
507,ARSON,1
601,THEFT/OTHER,138
601,THEFT F/AUTO,104
601,MOTOR VEHICLE THEFT,76
601,ASSAULT W/DANGEROUS WEAPON,65
601,ROBBERY,54
601,BURGLARY,14
601,SEX ABUSE,7
601,HOMICIDE,3
601,ARSON,0
602,THEFT/OTHER,572
602,THEFT F/AUTO,378
602,MOTOR VEHICLE THEFT,248
602,ROBBERY,185
602,ASSAULT W/DANGEROUS WEAPON,157
602,BURGLARY,102
602,SEX ABUSE,16
602,HOMICIDE,11
602,ARSON,1
603,THEFT/OTHER,649
603,THEFT F/AUTO,288
603,MOTOR VEHICLE THEFT,198
603,ASSAULT W/DANGEROUS WEAPON,175
603,ROBBERY,166
603,BURGLARY,77
603,SEX ABUSE,27
603,HOMICIDE,6
603,ARSON,0
604,THEFT/OTHER,383
604,THEFT F/AUTO,331
604,MOTOR VEHICLE THEFT,217
604,ASSAULT W/DANGEROUS WEAPON,171
604,ROBBERY,126
604,BURGLARY,97
604,HOMICIDE,17
604,SEX ABUSE,15
604,ARSON,0
605,THEFT F/AUTO,263
605,THEFT/OTHER,253
605,MOTOR VEHICLE THEFT,119
605,ROBBERY,64
605,ASSAULT W/DANGEROUS WEAPON,51
605,BURGLARY,43
605,SEX ABUSE,13
605,HOMICIDE,5
605,ARSON,0
606,THEFT/OTHER,300
606,THEFT F/AUTO,264
606,MOTOR VEHICLE THEFT,88
606,ROBBERY,72
606,ASSAULT W/DANGEROUS WEAPON,35
606,BURGLARY,28
606,SEX ABUSE,4
606,HOMICIDE,3
606,ARSON,0
607,THEFT/OTHER,352
607,THEFT F/AUTO,306
607,ASSAULT W/DANGEROUS WEAPON,137
607,MOTOR VEHICLE THEFT,121
607,ROBBERY,95
607,BURGLARY,88
607,SEX ABUSE,19
607,HOMICIDE,15
607,ARSON,0
608,THEFT/OTHER,381
608,THEFT F/AUTO,285
608,MOTOR VEHICLE THEFT,174
608,ASSAULT W/DANGEROUS WEAPON,128
608,ROBBERY,118
608,BURGLARY,77
608,HOMICIDE,14
608,SEX ABUSE,13
608,ARSON,0
701,THEFT/OTHER,278
701,THEFT F/AUTO,158
701,ASSAULT W/DANGEROUS WEAPON,83
701,BURGLARY,58
701,MOTOR VEHICLE THEFT,51
701,ROBBERY,51
701,HOMICIDE,11
701,SEX ABUSE,11
701,ARSON,0
702,THEFT/OTHER,197
702,ASSAULT W/DANGEROUS WEAPON,109
702,THEFT F/AUTO,77
702,ROBBERY,58
702,BURGLARY,50
702,MOTOR VEHICLE THEFT,45
702,HOMICIDE,12
702,SEX ABUSE,11
702,ARSON,0
703,THEFT/OTHER,235
703,THEFT F/AUTO,191
703,ROBBERY,116
703,MOTOR VEHICLE THEFT,92
703,ASSAULT W/DANGEROUS WEAPON,84
703,BURGLARY,67
703,SEX ABUSE,17
703,HOMICIDE,11
703,ARSON,0
704,THEFT/OTHER,305
704,THEFT F/AUTO,170
704,ASSAULT W/DANGEROUS WEAPON,102
704,MOTOR VEHICLE THEFT,91
704,ROBBERY,79
704,BURGLARY,77
704,HOMICIDE,15
704,SEX ABUSE,10
704,ARSON,0
705,THEFT/OTHER,136
705,ROBBERY,97
705,THEFT F/AUTO,92
705,ASSAULT W/DANGEROUS WEAPON,72
705,BURGLARY,70
705,MOTOR VEHICLE THEFT,52
705,HOMICIDE,7
705,SEX ABUSE,7
705,ARSON,1
706,THEFT/OTHER,182
706,THEFT F/AUTO,130
706,ASSAULT W/DANGEROUS WEAPON,124
706,MOTOR VEHICLE THEFT,89
706,ROBBERY,60
706,BURGLARY,36
706,SEX ABUSE,13
706,HOMICIDE,11
706,ARSON,2
707,THEFT/OTHER,288
707,THEFT F/AUTO,113
707,ASSAULT W/DANGEROUS WEAPON,89
