psa,offense,crime_count
101,THEFT/OTHER,570
101,THEFT F/AUTO,389
101,ROBBERY,48
101,ASSAULT W/DANGEROUS WEAPON,41
101,MOTOR VEHICLE THEFT,35
101,BURGLARY,14
101,SEX ABUSE,6
101,ARSON,1
101,HOMICIDE,1
102,THEFT/OTHER,325
102,THEFT F/AUTO,193
102,MOTOR VEHICLE THEFT,45
102,ROBBERY,45
102,ASSAULT W/DANGEROUS WEAPON,36
102,SEX ABUSE,12
102,BURGLARY,11
102,HOMICIDE,1
102,ARSON,0
103,THEFT F/AUTO,136
103,THEFT/OTHER,99
103,ROBBERY,20
103,MOTOR VEHICLE THEFT,19
103,ASSAULT W/DANGEROUS WEAPON,5
103,BURGLARY,4
103,SEX ABUSE,4
103,ARSON,0
103,HOMICIDE,0
104,THEFT/OTHER,402
104,THEFT F/AUTO,277
104,ROBBERY,58
104,MOTOR VEHICLE THEFT,48
104,BURGLARY,35
104,ASSAULT W/DANGEROUS WEAPON,28
104,SEX ABUSE,2
104,HOMICIDE,1
104,ARSON,0
105,THEFT/OTHER,195
105,THEFT F/AUTO,76
105,MOTOR VEHICLE THEFT,41
105,ASSAULT W/DANGEROUS WEAPON,40
105,ROBBERY,28
105,BURGLARY,13
105,SEX ABUSE,4
105,ARSON,1
105,HOMICIDE,0
106,THEFT/OTHER,532
106,THEFT F/AUTO,323
106,ROBBERY,72
106,MOTOR VEHICLE THEFT,65
106,BURGLARY,48
106,ASSAULT W/DANGEROUS WEAPON,34
106,SEX ABUSE,5
106,HOMICIDE,4
106,ARSON,0
107,THEFT/OTHER,404
107,THEFT F/AUTO,211
107,ROBBERY,67
107,BURGLARY,38
107,MOTOR VEHICLE THEFT,37
107,ASSAULT W/DANGEROUS WEAPON,33
107,SEX ABUSE,9
107,HOMICIDE,1
107,ARSON,0
108,THEFT/OTHER,256
108,THEFT F/AUTO,187
108,ROBBERY,43
108,MOTOR VEHICLE THEFT,34
108,BURGLARY,23
108,ASSAULT W/DANGEROUS WEAPON,9
108,ARSON,1
108,SEX ABUSE,1
108,HOMICIDE,0
201,THEFT F/AUTO,145
201,THEFT/OTHER,67
201,MOTOR VEHICLE THEFT,39
201,BURGLARY,35
201,ASSAULT W/DANGEROUS WEAPON,7
201,ROBBERY,5
201,HOMICIDE,1
201,SEX ABUSE,1
201,ARSON,0
202,THEFT/OTHER,302
202,THEFT F/AUTO,187
202,BURGLARY,28
202,MOTOR VEHICLE THEFT,17
202,ASSAULT W/DANGEROUS WEAPON,16
202,ROBBERY,12
202,SEX ABUSE,3
202,ARSON,0
202,HOMICIDE,0
203,THEFT F/AUTO,143
203,THEFT/OTHER,127
203,MOTOR VEHICLE THEFT,21
203,BURGLARY,19
203,ROBBERY,12
203,ASSAULT W/DANGEROUS WEAPON,7
203,SEX ABUSE,1
203,ARSON,0
203,HOMICIDE,0
